minute,bid,bidSh,ask,askSh
54600000000000,3208100,100,3208600,142
54660000000000,3208800,20,3209300,100
54720000000000,3210400,102,3211100,100
54780000000000,3207900,100,3208500,196
54840000000000,3207400,816,3208000,300
54900000000000,3210500,100,3211100,200
54960000000000,3210800,100,3211100,100
55020000000000,3209800,100,3210300,200
55080000000000,3212300,100,3212900,100
55140000000000,3217000,21,3217200,600
55200000000000,3217300,100,3217700,102
55260000000000,3219600,115,3220000,9937
55320000000000,3218900,400,3219400,100
55380000000000,3221300,100,3221700,100
55440000000000,3221800,100,3222100,100
55500000000000,3222500,500,3223000,310
55560000000000,3221600,201,3221800,200
55620000000000,3218200,200,3218800,200
55680000000000,3216800,10,3217200,201
55740000000000,3217400,202,3217700,100
55800000000000,3217600,100,3218100,100
55860000000000,3216800,101,3217400,300
55920000000000,3219000,200,3219300,134
55980000000000,3219300,215,3219700,100
56040000000000,3218200,100,3218500,1
56100000000000,3220200,100,3220400,100
56160000000000,3219500,200,3220100,233
56220000000000,3219800,200,3220300,200
56280000000000,3219000,100,3219400,100
56340000000000,3220400,101,3220700,9
56400000000000,3223400,200,3223600,30
56460000000000,3225900,500,3226300,100
56520000000000,3225600,200,3226200,100
56580000000000,3228200,300,3228600,100
56640000000000,3228500,100,3228800,701
56700000000000,3226800,219,3227500,100
56760000000000,3227800,62,3228000,100
56820000000000,3227800,102,3228300,100
56880000000000,3229700,90,3229900,130
56940000000000,3230500,303,3230800,547
57000000000000,3230700,100,3231000,13
57060000000000,3232500,100,3232800,300
57120000000000,3230800,200,3231100,2
57180000000000,3231400,10,3231600,200
57240000000000,3233700,100,3234000,100
57300000000000,3234300,50,3234500,100
57360000000000,3235600,100,3235900,100
57420000000000,3237000,200,3237300,100
57480000000000,3237900,361,3238100,100
57540000000000,3238000,100,3238500,100
57600000000000,3238700,10,3239000,1640
