tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,open,30s,119,103295,9281299.0,126820998.97516382,-83843457.41682039,210664456.39198413
101-1000,open,5s,114,135808,16665609.0,367094125.9558531,-129287907.57599725,496382033.5318504
101-1000,open,5s,115,120348,12278757.0,207906029.94352692,-105073194.2505807,312979224.1941076
101-1000,open,5s,116,117625,11826258.0,171797415.716892,-106394638.80150464,278192054.5183967
101-1000,open,5s,117,118132,11373042.0,156913167.5599435,-102874463.30796525,259787630.86790872
101-1000,open,5s,118,104574,9606655.0,134036712.0718753,-94821469.30888632,228858181.38076162
101-1000,open,5s,119,103295,9281299.0,126820998.97516385,-82695504.33441298,209516503.30957678
rest,close,1s,186,92958,4644231.0,72905619.23756471,-16715985.691810567,89621604.92937528
rest,close,1s,187,90108,4701191.0,87912616.43114129,-3287137.8463675855,91199754.27750888
rest,close,1s,188,100063,5446672.0,131429247.59216914,-10824599.990714071,142253847.58288318
rest,close,1s,189,125252,7003038.0,135802344.10392967,-23813745.211592674,159616089.3155224
rest,close,1s,190,252736,14444904.0,209894457.5227256,-33633873.71413684,243528331.23686248
rest,close,1s,191,593277,39860854.0,603868436.2089591,-66929433.13044649,670797869.3394055
rest,close,30s,186,92958,4644231.0,72905619.23756471,-19110822.40329592,92016441.64086063
rest,close,30s,187,90108,4701191.0,87912616.4311413,-1284858.3645312812,89197474.79567257
rest,close,30s,188,100063,5446672.0,131429247.59216914,-30502008.216529902,161931255.8086991
rest,close,30s,189,125252,7003038.0,135802344.10392967,-28662527.84470913,164464871.9486388
rest,close,30s,190,252736,14444904.0,209894457.5227256,-65876422.13650379,275770879.6592294
rest,close,30s,191,593277,39860854.0,603868436.2089592,-68248163.34186377,672116599.5508235
rest,close,5s,186,92958,4644231.0,72905619.23756471,-13582553.761468798,86488172.9990335
rest,close,5s,187,90108,4701191.0,87912616.43114127,-3625630.757688524,91538247.18882981
rest,close,5s,188,100063,5446672.0,131429247.59216912,-14977254.736704953,146406502.32887405
rest,close,5s,189,125252,7003038.0,135802344.10392967,-23822501.05745323,159624845.1613829
rest,close,5s,190,252736,14444904.0,209894457.5227257,-37886859.93504949,247781317.45777512
rest,close,5s,191,593277,39860854.0,603868436.2089592,-146111138.0918526,749979574.3008116
rest,midday,1s,120,51704,3719508.0,154465021.61666787,1435312.9027523529,153029708.7139155
rest,midday,1s,121,56754,4156289.0,164383145.95966622,-32302702.279948294,196685848.2396145
rest,midday,1s,122,54012,3828673.0,130090697.04805341,-75178839.4079237,205269536.45597714
rest,midday,1s,123,52899,3484660.0,163166944.25149244,33824927.67061263,129342016.58087981
rest,midday,1s,124,49616,3219401.0,127431980.78748156,5124344.589249116,122307636.19823246
rest,midday,1s,125,57378,3678580.0,143974610.7194874,-7870041.320859764,151844652.0403472
rest,midday,1s,126,51439,3283209.0,159631912.19900253,52398736.83010194,107233175.36890058
rest,midday,1s,127,50733,3208595.0,211363819.3914868,66312910.59776231,145050908.79372442
rest,midday,1s,128,50463,3390156.0,162495884.26561692,-25757433.330959268,188253317.59657615
rest,midday,1s,129,47180,3113092.0,105782218.78870143,-141981023.68054897,247763242.46925038
rest,midday,1s,130,51463,2974043.0,146422904.12851804,47195868.77275475,99227035.35576338
rest,midday,1s,131,55034,3202178.0,104078594.73806916,6861509.914493159,97217084.823576
rest,midday,1s,132,62645,3811217.0,174779015.8812476,-60429043.49333571,235208059.37458333
rest,midday,1s,133,51965,3119168.0,87304825.38211842,-472997.4342268673,87777822.8163453
rest,midday,1s,134,49635,2909768.0,107990736.84686571,-24390382.32766687,132381119.1745326
rest,midday,1s,135,44834,2684305.0,71612047.4470337,-9466817.856359402,81078865.30339311
