sym,session,n_in,n_out,beta,r2_in,r2_out
CABR,midday,338,126,0.0007155989425446007,0.16580862286563125,0.11574113372088135
CABR,open,73,39,0.0004731119314852431,0.1437172278487845,0.025541764741638717
CAC,close,131,100,0.004070150732978922,0.07650973158360413,0.15397701633593308
CAC,midday,456,349,0.006700971834105352,0.1058816179433584,-2.540197071577636
CACC,close,199,176,0.0799842359350089,0.029955620802018728,0.15736726497150721
CACC,midday,1035,533,0.46503414899557566,0.12995064579448284,0.17740649409693166
CACC,open,46,30,0.06847679834908041,0.05297171071705504,0.042308264760143155
CACI,close,145,185,0.17556817013156228,0.26407731650304067,0.22799929758728066
CACI,midday,949,348,0.5034380647385643,0.19159971457743574,0.18396842838712368
CACI,open,190,14,1.002524067592074,0.1038227596055522,0.06090507796926603
CADE,close,697,423,0.00030060158473103394,0.6861768793683234,0.6338202346766924
CADE,midday,6891,2304,0.00047683179442118876,0.6247929815524169,0.5716938487516093
CADE,open,776,330,0.0007217430702845586,0.5956651451943709,0.766389823441878
CADL,close,245,227,0.00044842145244933907,0.5162407530766849,-0.025988207669316532
CADL,midday,1573,591,4.025257241521053e-05,0.044103233182600884,0.07388456318583625
CADL,open,260,48,0.0005199445983055444,0.3792637276645771,0.28984161777318795
CAE,close,193,195,0.001999017857459894,0.27174459392475225,0.19161774838069145
CAE,midday,1120,516,0.002138963009592085,0.2999085503094295,0.24946422042555494
CAE,open,143,94,0.002345853264906681,0.26437902875050767,0.11300092022563679
CAFG,close,141,43,2.551020408163265e-05,1.2561299139802232e-05,0.0004974053475437223
CAFG,midday,2289,679,1.1145721961150503e-05,9.972794769919697e-05,0.0008735137682180927
CAFG,open,400,141,9.97700974538644e-05,0.009234327096070371,-0.018347022849561245
CAFX,midday,111,33,0.005161723344413193,0.6706502977656723,0.13223337992771167
CAG,close,662,392,7.840211007454693e-05,0.83664206272201,0.5375844076844281
CAG,midday,5477,2488,9.761811745628225e-05,0.6153376825259507,-0.0010037194928782522
CAG,open,616,249,0.00030602661503187795,0.6692605153789163,0.6619528429404138
CAH,close,489,329,0.0021797184955386437,0.20805407380202356,0.24194269996961093
CAH,midday,2312,1173,0.012181138202014878,0.3075458835461108,0.22752211303070868
