tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,open,30s,115,75101,9974700.0,200782196.88614488,-130609099.94688188,331391296.8330268
101-1000,open,30s,116,61298,7643219.0,230631458.48843032,-109393053.9345482,340024512.4229784
101-1000,open,30s,117,65424,8255590.0,120257344.19840601,12853635.06147138,107403709.1369346
101-1000,open,30s,118,60572,7139224.0,92454311.08830728,-55484183.449560165,147938494.5378674
101-1000,open,30s,119,55274,6398079.0,268405431.03531188,-138597209.39505014,407002640.4303622
101-1000,open,5s,114,89268,13118814.0,510799601.654485,76990941.8538127,433808659.80067253
101-1000,open,5s,115,75101,9974700.0,200782196.8861449,-88804715.27545255,289586912.16159755
101-1000,open,5s,116,61298,7643219.0,230631458.48843032,19962474.348112665,210668984.14031753
101-1000,open,5s,117,65424,8255590.0,120257344.19840598,10559590.098372974,109697754.10003315
101-1000,open,5s,118,60572,7139224.0,92454311.08830726,-36463174.55917251,128917485.64747976
101-1000,open,5s,119,55274,6398079.0,268405431.0353122,83153773.67451636,185251657.36079577
rest,close,1s,186,58736,3325723.0,64160824.96290577,-4790423.695960591,68951248.65886636
rest,close,1s,187,60054,3424806.0,63567754.24523918,-3853491.593520794,67421245.83875999
rest,close,1s,188,68719,4306821.0,72670962.30468115,-7794158.016128585,80465120.32080974
rest,close,1s,189,74937,4584760.0,80987340.76735201,-2950919.676671244,83938260.44402328
rest,close,1s,190,116575,7129744.0,123830013.14436954,32307755.234038804,91522257.91033077
rest,close,1s,191,183797,13737664.0,214811755.38025847,41009661.28884756,173802094.09141093
rest,close,30s,186,58736,3325723.0,64160824.962905765,-15469731.478319233,79630556.441225
rest,close,30s,187,60054,3424806.0,63567754.245239176,-8802088.141116083,72369842.38635527
rest,close,30s,188,68719,4306821.0,72670962.30468115,-15737832.187429562,88408794.49211071
rest,close,30s,189,74937,4584760.0,80987340.76735203,-11597767.982774967,92585108.75012699
rest,close,30s,190,116575,7129744.0,123830013.14436957,21496818.91926319,102333194.22510634
rest,close,30s,191,183797,13737664.0,214811755.38025844,64408324.320412144,150403431.05984637
rest,close,5s,186,58736,3325723.0,64160824.962905765,-13802291.28350897,77963116.24641475
rest,close,5s,187,60054,3424806.0,63567754.24523917,-5428654.38898325,68996408.63422243
rest,close,5s,188,68719,4306821.0,72670962.30468115,-14587142.038482731,87258104.3431639
rest,close,5s,189,74937,4584760.0,80987340.76735201,-4794147.522214639,85781488.28956667
rest,close,5s,190,116575,7129744.0,123830013.14436951,27397945.080835257,96432068.06353432
rest,close,5s,191,183797,13737664.0,214811755.38025847,99420345.27967106,115391410.10058732
rest,midday,1s,120,30414,2224803.0,75365095.7441613,9621663.922420757,65743431.821740516
rest,midday,1s,121,30728,2287928.0,66892444.15488399,6885035.385948467,60007408.768935524
rest,midday,1s,122,31136,2358063.0,74542146.04994042,2162478.696651853,72379667.35328858
rest,midday,1s,123,32671,2565006.0,107713131.64609492,34913922.23228322,72799209.4138117
rest,midday,1s,124,26056,1996207.0,59768278.688398205,-2867104.1987986434,62635382.88719685
rest,midday,1s,125,24288,1818437.0,85536835.4871862,37901977.66836115,47634857.81882505
rest,midday,1s,126,35552,2593835.0,79107056.63192475,33262.35110288638,79073794.28082186
rest,midday,1s,127,32872,2392760.0,76276645.11729984,-2235072.6663522203,78511717.78365207
rest,midday,1s,128,34469,2555722.0,71978692.42499273,-1810675.5478718865,73789367.9728646
rest,midday,1s,129,34137,2443366.0,61410953.31760867,6953256.155291667,54457697.162317
rest,midday,1s,130,39344,2926488.0,88916047.34988976,10767489.687291076,78148557.66259867
rest,midday,1s,131,34480,2632301.0,72226371.80648418,-3208641.810732247,75435013.61721642
rest,midday,1s,132,31810,2221734.0,66837060.37742839,-5275208.594105207,72112268.9715336
rest,midday,1s,133,29908,2088215.0,57446884.08845497,-4390414.10109134,61837298.1895463
rest,midday,1s,134,29328,1966628.0,53240676.76288027,-5820423.510796413,59061100.273676686
rest,midday,1s,135,26696,1734599.0,47943602.90538772,278277.1632419898,47665325.74214573
