sym,session,n_in,n_out,beta,r2_in,r2_out
ESGS,midday,94,31,0.0005237006597985877,0.6604812683851102,0.9888133832707056
ESGU,close,182,118,0.0002754625567927078,0.10051805318121157,0.18602212615227798
ESGU,midday,2104,530,0.0003043680686240237,0.16883968887523548,0.24451558454736255
ESGU,open,481,177,0.0006049698382652785,0.2318046234552318,0.11283095736277804
ESGV,close,257,170,0.0003335651498144274,0.38791068509097415,0.4807142847399706
ESGV,midday,2414,558,0.0007331865571516596,0.5697235702658421,0.576099600263035
ESGV,open,512,169,0.0006488682635450813,0.3106980674556456,0.19849857977160457
ESGW,midday,57,16,0.004142770441961792,0.7762342287436014,0.8974330383282914
ESI,close,336,216,0.00010070260126403788,0.5812301636945156,0.44844659584450475
ESI,midday,1951,934,0.00027546415688151223,0.6674927806900816,0.32715725529999695
ESI,open,191,63,0.00041341662667313336,0.274978690337583,0.43721875131086063
ESLT,close,58,59,0.022100327960514227,0.46127067430898394,-0.14369190714438274
ESLT,midday,901,355,0.010253346978051543,0.025653521923641686,-0.13109399159364932
ESLT,open,273,64,0.0015568307815636915,0.0013358073629292184,-0.013334405301132168
ESML,close,30,24,0.0010051546391752577,0.7170920291677143,0.9901091963621458
ESML,midday,433,106,0.0010431530334464429,0.3313064430128336,0.8646460459111467
ESML,open,77,14,0.0019711889132020427,0.6150922270597879,0.010679037269832992
ESNT,close,227,165,0.010608083092715239,0.279171219319571,-0.07522823333677131
ESNT,midday,1508,757,0.007321435150289591,0.23511196577649673,0.14731877517019
ESNT,open,217,63,0.007368060834486702,0.022048266797986008,0.1431453673322184
ESPO,close,66,32,0.0002370466321243523,0.10811098736138683,-0.02499435060180999
ESPO,midday,751,265,0.0005209313696004111,0.1477184239577552,0.07409448578604194
ESPO,open,74,14,0.002654011073885296,0.09865398180250662,-2.984950147528635
ESPR,close,276,202,0.007795711395110261,0.12619757704845586,-4.013188820696592
ESPR,midday,2269,838,0.006771638818266743,0.18177471290200964,0.018006681187607176
ESPR,open,266,84,0.0031248939415223064,0.022179903286153695,0.0812618745624456
ESQ,midday,173,61,0.004626424118850613,0.27515899343393285,0.09379302532689127
ESRT,close,369,298,7.134883766490484e-05,0.8737944268233977,0.606714396508323
ESRT,midday,2931,872,0.00019409638620461353,0.5333959308830369,0.5649696275955469
ESRT,open,348,146,0.0002756044396530724,0.4301343675300659,0.6175701335920776
ESS,close,291,210,0.019136702693064795,0.5019070442792608,0.3794766872227924
ESS,midday,2374,896,0.030692476052035265,0.45755988986481205,0.15119086023769712
ESS,open,118,45,0.09665180362323451,0.10067928787002406,-0.9664503928583235
ESSA,midday,144,38,0.0011502506992927357,0.4796969596842743,0.18796362587572235
ESTA,close,59,79,0.003534438246082138,0.185667683691902,-0.05357664324043654
ESTA,midday,952,361,0.007016571679613748,0.12707319412592188,-0.29645710200122144
ESTA,open,39,66,0.01972189468496529,0.20773369731405217,-1.4930819127817707
ESTC,close,214,213,0.002031996367138793,0.047117262746966516,0.010268703907756915
ESTC,midday,1540,632,0.003728846775606679,0.18563744906618138,0.2705989064579636
ESTC,open,258,83,0.011833707060960761,0.13936907378238486,0.39317019984718027
ESTE,close,114,33,0.003316932652606861,0.5789832762349143,-17.662568474702724
ESTE,midday,440,242,0.002754613134287981,0.4061011483590869,0.4465986455126232
ESTE,open,85,39,0.003954557795030752,0.2641829976977184,0.5472839459632088
ESTR,midday,398,61,2.3469190095722873e-05,0.04917981110550896,0.049457988376255035
ESTR,open,32,29,3.196378959761219e-06,0.0030692967032788813,-0.4372609015223061
ESXB,midday,131,73,0.00206466355185926,0.16149781485687137,0.2821707908184653
ET,close,721,465,1.6655812889483606e-05,0.635750083627357,0.2637683158667624
ET,midday,7975,3091,2.576540789548758e-05,0.5801694562872477,0.5442555323320769
ET,open,768,341,6.975898603141324e-05,0.44929339260088746,0.5237044293566622
ETB,midday,93,17,0.004496281295780086,0.2581161366720188,0.549763905115089
ETFC,close,690,430,0.00035154397012368864,0.747289038019204,-0.9377874278529013
ETFC,midday,6237,2382,0.0006574562105613992,0.6619171065604712,0.4323792357786568
ETFC,open,457,304,0.0018478595266074665,0.5833305390541038,0.4245885333058721
ETG,midday,200,94,0.012593917568275404,0.19611854071638216,0.2486136440579627
ETG,open,57,52,-0.00023333487160306828,0.0001313598373447108,-0.06076475468469433
ETH,close,205,203,0.0008108027284105208,0.17993839239110535,0.026693947395258544
ETH,midday,1128,413,0.0031640971975290906,0.17229734521776482,0.252170640586286
ETH,open,46,56,0.007581577970816636,0.37998466569670586,-0.48903256638632686
ETHO,midday,151,35,0.04887207417694144,0.394161979058929,-0.6964920941303949
ETHO,open,106,25,0.08391101765877741,0.16888504174156357,0.36270811617529874
ETJ,midday,123,62,0.0006651463272197249,0.13820413620117533,0.21763297013083704
ETJ,open,41,10,0.0013079545524733115,0.2613776966364052,-0.0008305517682645203
ETM,close,298,239,0.00013774480634118062,0.5647146393927484,-1.41060425494203
ETM,midday,1135,558,0.00022071898716589307,0.42239624332279285,0.7049292825582323
ETM,open,128,69,0.0005944619848858346,0.26370614178655466,0.4392338639950353
ETN,close,489,288,0.0034902463817700195,0.5306204967333075,0.5534900524209276
ETN,midday,3861,1417,0.003944258436525677,0.43419625860382877,0.4277961880156922
ETN,open,330,130,0.012992173486833628,0.20643305281611646,0.08146118706681083
ETNB,close,52,56,0.032703929913281936,0.25603864189484143,-0.5050568483270867
ETNB,midday,343,196,0.01608063084679965,0.05618022666943414,0.2895775680549241
ETNB,open,57,23,0.08278509243456923,0.2684597198694266,0.20162131809285833
ETON,midday,90,45,0.0008738075379030984,0.5210269266112387,0.40579805005203906
ETP-C,midday,60,18,0.12118017535548847,0.2712044548878078,-0.18664839002418954
ETP-D,midday,68,42,0.04291214324810263,0.06421298379665961,0.2521308848318988
ETP-E,midday,107,27,0.02828216982587764,0.10808104561236681,-2.0760215704905542
ETR,close,421,298,0.003183523450430206,0.47256705335529353,0.4073303109974926
ETR,midday,2876,1372,0.005102557471109117,0.3464215588196024,0.3670612543988704
ETR,open,232,102,0.01629174742462032,0.1625591537672264,0.4312330709681018
ETRN,close,398,256,0.00027462415649480513,0.6777264097665975,0.6717120503290541
ETRN,midday,3383,1207,0.0005285522044155498,0.6542340326517665,0.5732444515209195
ETRN,open,154,134,0.0010887966576649977,0.39504198916333483,0.5679528485220146
ETSY,close,418,333,0.0007214221945381743,0.6482846654379271,-3.186012865386793
ETSY,midday,2747,1161,0.001064557246482983,0.34581226209661603,0.6651384840799237
ETSY,open,303,110,0.0045030780138266245,0.594757587434632,0.3208885652845983
ETTX,midday,54,18,0.002582088792759987,0.19912947366757994,0.13491958360826206
ETV,close,31,49,0.0005476879802888112,0.35311978167934427,0.22066191299216198
ETV,midday,188,67,0.0007373661701633758,0.3248199794318491,0.5712728619136413
ETW,midday,116,65,0.0010171042576390943,0.3475563901880548,0.364222489579498
ETY,close,45,46,0.001042413673933508,0.6637422141028253,0.2878979232628923
ETY,midday,304,134,0.0008561693664951565,0.4934477922262767,0.4742989520549147
ETY,open,47,47,0.005709993418853029,0.3907259927484826,-9.185818264782235
EUDG,close,69,32,,,
EUDG,midday,812,305,0.039061045635444734,0.1311664000935481,0.7354316152232719
EUDG,open,67,32,0.0325,0.3611111111111111,-0.16250000000000075
EUDV,close,44,11,0.0002776030351178703,0.1578584911088733,0.026909251128798495
EUDV,midday,295,73,0.0004689255314814347,0.19086637349025498,-0.6116519933181737
EUDV,open,46,23,0.0007367846561671605,0.34314443250415727,-0.5614448518061403
EUFL,midday,41,10,0.7749263575819672,0.1646240062309742,-154.3284962985472
EUFN,close,174,147,2.650375188191134e-05,0.39176172110669855,-1.0302559103111362
EUFN,midday,2187,520,1.267490659162977e-05,0.2276844456935145,0.1958389566860771
EUFN,open,266,116,4.9482632718412194e-05,0.27368263360980916,-0.7447489073070996
EUM,close,189,117,4.497972354380886e-06,0.01403563711915233,0.04417180508640939
EUM,midday,1738,427,7.596017813599836e-06,0.02180460818397548,-0.026006152212995737
EUM,open,232,101,1.5031755833330891e-05,0.0530989303133163,0.08309191498580326
EUMF,close,72,37,0.023125,0.4878444726005702,-2.0332800164255818
EUMF,midday,890,406,0.01625,0.5552387016990135,0.8949272027705394
EUMF,open,62,33,,,
EUMV,close,71,32,-4.340714645193759e-05,0.0012076988327353604,-0.031536873653304376
EUMV,midday,313,124,0.0003642638036809816,0.038820774174595854,-0.016685639218122716
EUMV,open,72,30,0.00015097827761515945,0.025077747807263778,0.018635855279607982
EUO,close,92,56,9.033345566541156e-05,0.13994155359841146,0.019671425379035767
EUO,midday,1203,222,0.00010309307600139425,0.24330358385652634,0.12087530315335937
EUO,open,80,69,0.00022453307023730736,0.23425448731746187,-2.7083008735477305
EURL,close,178,133,0.0009314878383888576,0.703694211907406,0.4130476506121199
EURL,midday,3021,413,0.0007601741944595017,0.6291290351224063,0.6521959439937892
EURL,open,298,165,0.0008611390358895071,0.6805044003295845,0.657986571415069
EURN,close,192,128,0.00016127842556657566,0.7665004324316638,-0.6332662895417458
EURN,midday,1916,546,0.0002404412289041051,0.5079948372765646,0.549159288661469
EURN,open,312,195,0.00039057199992628493,0.6249130806300609,0.5878674766890665
EURZ,close,89,37,,,
EURZ,midday,927,336,0.004453836930455636,0.07849891552385094,0.3587068501249985
EURZ,open,79,30,0.005,0.48170731707317077,-0.02011781283814762
EUSA,close,64,34,0.004628851004054528,0.6697158322328208,0.41824364675704384
EUSA,midday,940,249,0.0016585324675624969,0.19059868175038253,0.1430848389129259
EUSA,open,104,44,0.0008380737109238308,0.06541173718809169,-0.9701290145152812
EUSC,close,117,61,0.00032512892639474916,0.32809898045154845,0.022988231352518818
EUSC,midday,1248,518,0.0002253387376776616,0.08112636349684264,0.05864748461246461
EUSC,open,117,61,0.000449297205202975,0.14722132795575618,0.4425622447059929
EV,close,335,256,0.003783176553823701,0.4405075965210119,0.07993292096764837
EV,midday,1498,613,0.006296125347626037,0.22435052096653968,0.07254269256347246
EV,open,162,48,0.014861626035026422,0.07709703480542994,0.20948294719996252
EVA,close,46,43,0.3788392070484582,0.7392331516050099,-107.3308300750538
EVA,midday,155,76,0.02027216822698328,0.21297101645931246,0.09185558014197226
EVBG,close,251,209,0.007525930388956425,0.25756499524160364,0.024114057188815763
EVBG,midday,2504,768,0.0030846113569128314,0.04216812487031067,0.13384182409372047
EVBG,open,406,113,0.00940027351752163,0.10974166996454064,-0.038000343291834104
EVC,midday,262,180,0.0005072976780573374,0.3881511255467513,0.3356260510728921
EVC,open,33,12,0.0005670003264481039,0.10665383580665103,0.030894949416314543
EVER,close,130,161,0.0026846394887655844,0.1766831864129107,0.26244935982139794
EVER,midday,1093,572,0.0031889299576531526,0.06907906903106695,-0.0004855217805237455
EVER,open,191,87,0.009929352945302072,0.21296077323445758,-0.3056686143809515
EVF,midday,44,14,0.029955083324613857,0.594126115524179,0.8616668546081013
EVFM,midday,210,71,0.0017636230718074458,0.19985331277027102,0.13442663086969464
EVFM,open,65,59,0.0026516590022212312,0.5304461430295576,0.08396150960557269
EVH,close,273,190,0.0011305324382667227,0.5543274278053005,0.09592504224133847
EVH,midday,1464,699,0.0007637648036200169,0.4653862755962435,0.5700037420107233
EVH,open,209,86,0.0027609150955972416,0.40357071111165554,0.024802252660158564
EVI,close,56,16,0.060572990330898954,0.38727648189929287,0.2987812782710145
EVI,midday,605,191,0.043816769990101305,0.3320645691348214,-0.891788251402224
EVIX,midday,645,13,0.0017390089487268102,0.1891629017156481,
EVIX,open,62,41,0.0022411116286290946,0.12300549946487063,0.5545009217991941
EVLO,close,38,30,0.004778969980894076,0.16939347544796526,-1.9861998716042422
EVLO,midday,218,101,0.0006504749978425944,0.06432262955635155,0.0894021664792084
EVM,open,41,18,0.0003969668773730148,0.09727789864489257,0.08651461818684825
EVN,midday,47,22,0.02276798407733864,0.33925313081371267,0.6265128347602831
EVOK,midday,84,33,0.00013276636307294368,0.02405527049839786,0.3622842244138965
EVOL,midday,68,46,6.0837821826599314e-05,0.01162094400552434,0.12359916619043498
EVOP,close,151,151,0.00059859936730803,0.05744597379196945,0.0289190172630166
EVOP,midday,892,435,0.0006667470039193479,0.046192848921474676,0.058601791477728815
EVOP,open,121,57,0.002024228861937409,0.006217793126709874,-7.036758402266626
EVR,close,373,222,0.012147819323746133,0.1949047994976001,-0.053973289963590965
EVR,midday,1880,924,0.011186004915624933,0.2439910111408799,0.2945598209114725
EVR,open,193,28,0.021447301144784454,0.22057168318361392,-0.04388834952564813
EVRG,close,305,267,0.0007219353719667812,0.47448060442574497,0.3101671182365543
EVRG,midday,2114,901,0.0019292537800049108,0.45585586820886004,-0.653420997981812
EVRG,open,195,79,0.004577397490057793,0.0728807262110405,0.15829943916687716
EVRI,close,193,107,0.00047934299964411077,0.6178677727475175,0.011104043489454596
